Parcel,Year,Land_Assessment,Improvement_Assessment,Total_Assessment
71002302108,2019,28200,0,28200
71002302116,2019,15200,0,15200
71002302124,2019,15200,0,15200
71002302132,2019,17500,0,17500
71002303015,2019,37300,193300,230600
71002303023,2019,31400,206400,237800
71002303031,2019,34300,197800,232100
71002303049,2019,31000,201100,232100
71002303057,2019,33000,199900,232900
71002303065,2019,33000,215500,248500
71002303073,2019,33000,204000,237000
71002303081,2019,33000,212000,245000
71002303099,2019,33000,215000,248000
71002303106,2019,33000,205700,238700
71002303114,2019,31800,208000,239800
71002303122,2019,33300,194500,227800
71002303130,2019,32500,201800,234300
71002303148,2019,32500,217400,249900
71002303156,2019,31400,202200,233600
71002303164,2019,53500,188500,242000
71002303172,2019,44800,190100,234900
71002303180,2019,34100,200800,234900
71002303198,2019,36000,203400,239400
71002303205,2019,34900,202100,237000
71002303213,2019,32700,204200,236900
71002303221,2019,34800,202700,237500
71002303239,2019,35000,204700,239700
71002303247,2019,36500,209500,246000
71002303255,2019,37300,205500,242800
71002303263,2019,37300,205500,242800
71002303271,2019,36000,210000,246000
71002303289,2019,35900,214600,250500
71002303297,2019,30800,204500,235300
71002303304,2019,35800,201500,237300
71002304013,2019,61800,281300,343100
71002304021,2019,57900,244900,302800
71002304039,2019,57300,325800,383100
71002304047,2019,55400,243500,298900
71002304055,2019,61700,283100,344800
71002305037,2019,64300,224700,289000
71002305045,2019,60100,245100,305200
71002305053,2019,73500,247700,321200
71002305061,2019,71000,337500,408500
71002305079,2019,60500,234600,295100
71002305087,2019,56400,273500,329900
71002305095,2019,59000,239900,298900
71002305227,2019,100,0,100
71002305235,2019,100,0,100
71002306019,2019,64800,252900,317700
71002306027,2019,61400,253600,315000
71002306035,2019,67700,237500,305200
71002306043,2019,57900,197900,255800
71002306051,2019,55400,250600,306000
71002306069,2019,58900,229900,288800
71002306077,2019,63800,234600,298400
71002306085,2019,53900,220000,273900
71002306093,2019,48700,229700,278400
71002307059,2019,55400,213200,268600
71002307067,2019,53600,233200,286800
71002307075,2019,57100,220900,278000
71002308023,2019,9500,0,9500
71002308065,2019,53000,256000,309000
71002308073,2019,57500,262600,320100
71002308081,2019,59300,224100,283400
71002308099,2019,56000,249900,305900
71002308106,2019,56000,243400,299400
71002308114,2019,56000,257500,313500
71002308122,2019,56000,228300,284300
71002308130,2019,53700,226700,280400
71002309013,2019,60900,220000,280900
71002309021,2019,60900,284700,345600
71002309039,2019,68600,254600,323200
71002309047,2019,66200,293800,360000
71002309055,2019,63300,291900,355200
71002309063,2019,63000,244700,307700
71002309071,2019,64300,326000,390300
71002310010,2019,58700,272900,331600
71002310028,2019,51300,300700,352000
71002310036,2019,50400,259500,309900
71002310044,2019,50000,242000,292000
71002310052,2019,49400,253500,302900
71002310060,2019,48800,365800,414600
71002310078,2019,48100,275800,323900
71002310086,2019,45000,266900,311900
71002310094,2019,46800,272800,319600
71002310101,2019,50400,228300,278700
71002310119,2019,47100,233000,280100
71002310127,2019,47000,238000,285000
71002310135,2019,48000,305100,353100
71002310143,2019,48000,252000,300000
71002310151,2019,48700,226100,274800
71002310169,2019,49400,240000,289400
71002310177,2019,50800,221900,272700
71002310185,2019,50800,259100,309900
71002310193,2019,51500,273200,324700
71002310200,2019,57700,260400,318100
71002311018,2019,60100,240800,300900
71002311026,2019,61800,237700,299500
71002311034,2019,62500,286900,349400
71002311042,2019,62500,274400,336900
71002311050,2019,62600,274000,336600
71002311068,2019,62600,278400,341000
71002311076,2019,58700,276600,335300
71002311084,2019,58300,294800,353100
71002311092,2019,60700,265500,326200
71002311109,2019,60700,248900,309600
71002311117,2019,58700,252200,310900
71002311125,2019,58700,246100,304800
71002311133,2019,62600,30000,92600
71002311141,2019,62600,323500,386100
71002311159,2019,62600,257300,319900
71002311167,2019,62600,278100,340700
71002311175,2019,63700,251200,314900
71002311183,2019,61600,284600,346200
71002311191,2019,59000,275900,334900
71002312016,2019,11800,0,11800
71002312024,2019,11100,0,11100
71002312032,2019,11300,0,11300
71002312040,2019,68100,294800,362900
71002312058,2019,65000,325000,390000
71002312066,2019,63700,305800,369500
71002312074,2019,64100,305800,369900
71002312082,2019,61200,288700,349900
71002312090,2019,61200,281600,342800
71002312107,2019,61800,273400,335200
71002312115,2019,61800,297600,359400
71002312123,2019,66800,219700,286500
71002313014,2019,55400,214600,270000
71002313022,2019,55400,258500,313900
71002313030,2019,56900,222500,279400
71002313048,2019,59800,203700,263500
71002313056,2019,61900,243600,305500
71002314038,2019,63200,276500,339700
71002314046,2019,63200,242200,305400
71002314054,2019,63200,298200,361400
71002314062,2019,64800,218700,283500
71002314070,2019,62300,265800,328100
71002314088,2019,55100,215700,270800
71002314286,2019,2100,0,2100
71002315010,2019,2500,0,2500
71002315185,2019,2800,0,2800
71002315193,2019,3000,0,3000
71002315200,2019,3400,0,3400
71002315218,2019,2300,0,2300
71002316018,2019,2400,0,2400
71002316026,2019,2800,0,2800
71002316034,2019,2700,0,2700
71002316117,2019,61200,155200,216400
71002316125,2019,59500,275400,334900
71002316133,2019,59500,310400,369900
71002316141,2019,59500,260400,319900
71002316159,2019,59500,260400,319900
71002316167,2019,9900,0,9900
71002316183,2019,10100,0,10100
71002316191,2019,10600,0,10600
71002316208,2019,10600,0,10600
71002316216,2019,2100,0,2100
71002317016,2019,35600,0,35600
71002317024,2019,100,0,100
71002317032,2019,100,0,100
71002317058,2019,100,0,100
71002401017,2019,82000,218700,300700
71002401025,2019,73400,190900,264300
71002401033,2019,74100,143500,217600
71002401041,2019,72900,223500,296400
71002401059,2019,71000,228700,299700
71002401067,2019,100100,300700,400800
71002401075,2019,71900,238400,310300
71002401083,2019,72300,222600,294900
71002401950,2019,133300,320800,454100
71002402015,2019,70200,250900,321100
71002402023,2019,69600,245700,315300
71002402031,2019,69900,248700,318600
71002402049,2019,70100,205300,275400
71002402057,2019,70200,259800,330000
71002402065,2019,70400,209400,279800
71002402073,2019,70500,225900,296400
71002402081,2019,70700,178900,249600
71002403013,2019,71900,282400,354300
71002403021,2019,11500,0,11500
71002403039,2019,11500,120200,131700
71002403047,2019,67600,108500,176100
71002403055,2019,67600,161800,229400
71002403063,2019,68200,38600,106800
71002403071,2019,83600,317200,400800
71002403089,2019,86200,262300,348500
71002403097,2019,93000,223200,316200
71002403104,2019,87000,316500,403500
71002403120,2019,87800,425500,513300
71002403138,2019,104200,250800,355000
71002403146,2019,94100,307900,402000
71002403162,2019,94100,213700,307800
71002403170,2019,94500,305400,399900
71002403188,2019,71400,257400,328800
71002403196,2019,71700,269300,341000
71002405225,2019,62300,363900,426200
71002405233,2019,59700,306300,366000
71002405241,2019,59700,321500,381200
71002405259,2019,59700,0,59700
71002405267,2019,58300,183400,241700
71002405275,2019,61400,416300,477700
71002405283,2019,59900,0,59900
71002405291,2019,58300,279600,337900
71002405308,2019,53100,220000,273100
71002405316,2019,59000,256700,315700
71002405324,2019,50100,234700,284800
71002405332,2019,57000,239400,296400
71002405340,2019,61700,246200,307900
71002405358,2019,58100,264600,322700
71002405366,2019,58100,288500,346600
71002405374,2019,58100,297400,355500
71002406190,2019,48900,222700,271600
71002406207,2019,46200,216800,263000
71002406215,2019,46200,213700,259900
71002406223,2019,58800,161200,220000
71002406257,2019,41900,259100,301000
71002406265,2019,40500,218700,259200
71002406273,2019,40900,214100,255000
71002406281,2019,41400,206700,248100
71002406299,2019,40300,214100,254400
71002406306,2019,38000,227000,265000
71002406314,2019,37900,222600,260500
71002406322,2019,37900,231300,269200
71002406330,2019,37900,222000,259900
71002406348,2019,37900,229400,267300
71002406356,2019,37900,232500,270400
71002406364,2019,49800,266800,316600
71002411058,2019,50800,234200,285000
71002415018,2019,71600,418400,490000
71002415026,2019,66800,94000,160800
71002415034,2019,67500,117000,184500
71002415042,2019,66800,146500,213300
71002415050,2019,67500,275200,342700
71002415068,2019,66800,279600,346400
71002415076,2019,67500,278800,346300
71002415084,2019,69100,263200,332300
71002415092,2019,72400,338500,410900
71002415109,2019,72400,314500,386900
71002415117,2019,66100,247900,314000
71002415125,2019,97100,210100,307200
71002415133,2019,94100,254400,348500
71002415141,2019,83800,260100,343900
71002415159,2019,81600,304900,386500
71002417098,2019,67400,165300,232700
71002417189,2019,27800,0,27800
71002417197,2019,15500,0,15500
71002417204,2019,15500,0,15500
71002417212,2019,18600,0,18600
71002418012,2019,79500,148500,228000
71002418020,2019,81100,163400,244500
71002418038,2019,74000,194700,268700
71002418046,2019,81100,195200,276300
71002418054,2019,73300,142500,215800
71002418070,2019,77200,168800,246000
71002418088,2019,87000,191300,278300
71002418096,2019,80100,219300,299400
71002418103,2019,88300,203100,291400
71002418111,2019,93900,230300,324200
71002418129,2019,92400,257400,349800
71002418137,2019,70000,347000,417000
71002418145,2019,70600,218600,289200
71002418153,2019,80000,258800,338800
71002418161,2019,82300,283800,366100
71002418179,2019,80000,250000,330000
71002418187,2019,61800,308200,370000
71002418210,2019,84700,333300,418000
71002418244,2019,86700,257500,344200
71002418252,2019,90500,271700,362200
71002418260,2019,88100,265100,353200
71002418278,2019,90100,265200,355300
71002418591,2019,100,0,100
71002418616,2019,100,0,100
71002419010,2019,76300,268800,345100
71002419028,2019,70400,212500,282900
71002419036,2019,69900,153900,223800
71002419044,2019,69300,153200,222500
71002419135,2019,65200,71500,136700
71002419143,2019,65200,71500,136700
71002419151,2019,65200,71500,136700
71002419169,2019,65200,71500,136700
71002421015,2019,82400,227000,309400
71002421023,2019,80000,170700,250700
71002421031,2019,66700,207900,274600
71002421049,2019,99300,256600,355900
71002421057,2019,85800,197500,283300
71002421065,2019,74600,245400,320000
71002421073,2019,94100,307200,401300
71002421081,2019,63700,182800,246500
71002421099,2019,66200,209600,275800
71002421106,2019,70500,167500,238000
71002421114,2019,66600,187800,254400
71002421122,2019,69100,203000,272100
71002434018,2019,10100,0,10100
71002434026,2019,59400,182000,241400
71002434034,2019,10100,0,10100
71002434042,2019,47700,357600,405300
71002434068,2019,10500,0,10500
71002434076,2019,10100,0,10100
71002435016,2019,47900,250500,298400
71002435074,2019,52400,251100,303500
71002435082,2019,50000,149400,199400
71002435090,2019,46500,73000,119500
71002435107,2019,7900,0,7900
71002435115,2019,7900,0,7900
71002435123,2019,8000,0,8000
71002435131,2019,47700,241600,289300
71002435149,2019,54900,250500,305400
71002436014,2019,60300,235600,295900
71002436022,2019,61800,102600,164400
71002436030,2019,10500,0,10500
71002436048,2019,10500,0,10500
71002436056,2019,10500,0,10500
71002436064,2019,72400,68500,140900
71002436072,2019,11800,0,11800
71002436080,2019,65600,333400,399000
71002436098,2019,58900,240700,299600
71002436105,2019,58800,293300,352100
71002436113,2019,58800,216200,275000
71002436121,2019,58800,227100,285900
71002436139,2019,62400,230400,292800
71002436147,2019,59600,259200,318800
71002437012,2019,53800,246100,299900
71002437020,2019,50300,221700,272000
71002437038,2019,48900,242100,291000
71002437046,2019,45600,262600,308200
71002437054,2019,46000,215400,261400
71002437062,2019,46300,245800,292100
71002437070,2019,46700,253600,300300
71002437088,2019,47000,257400,304400
71002437096,2019,47400,262600,310000
71002437103,2019,48900,285200,334100
71002437111,2019,51600,273900,325500
71002437153,2019,37600,224600,262200
71002437161,2019,38300,269200,307500
71002437179,2019,42500,237000,279500
71002437187,2019,60000,288500,348500
71002437195,2019,35500,239500,275000
71002437202,2019,45900,258700,304600
71002438010,2019,54200,234600,288800
71002438028,2019,47700,269600,317300
71002438036,2019,43100,246200,289300
71002438044,2019,43100,280800,323900
71002438052,2019,43100,362500,405600
71002438060,2019,43100,251800,294900
71002438078,2019,43100,246800,289900
71002438086,2019,43100,245700,288800
71002438094,2019,43300,250300,293600
71002438101,2019,45500,288600,334100
71002438119,2019,41600,283400,325000
71002438127,2019,41700,227800,269500
71002439018,2019,51000,259500,310500
71002439026,2019,37500,239100,276600
71002439034,2019,37500,232400,269900
71002439042,2019,37500,257300,294800
71002439050,2019,37500,226000,263500
71002439068,2019,37500,229900,267400
71002439076,2019,37500,234000,271500
71002439084,2019,38800,241500,280300
71002439092,2019,39100,227800,266900
71002439109,2019,40200,217100,257300
71002439117,2019,43200,237200,280400
71002439125,2019,41700,231700,273400
71002440015,2019,52000,0,52000
71002440023,2019,43000,0,43000
71002440031,2019,43000,0,43000
71002440049,2019,34100,0,34100
71002440057,2019,34100,0,34100
71002440065,2019,34100,0,34100
71002440073,2019,34100,0,34100
71002440081,2019,34100,0,34100
71002440099,2019,43000,0,43000
71002440106,2019,34100,0,34100
71002440114,2019,34100,0,34100
71002440122,2019,34100,0,34100
71002440130,2019,34200,0,34200
71002440148,2019,44200,0,44200
71002440156,2019,47700,0,47700
71002440164,2019,48000,0,48000
71002440172,2019,57700,0,57700
71002441021,2019,100,0,100
71002441055,2019,100,0,100
71002441097,2019,100,0,100
71002442011,2019,100,0,100
71002442045,2019,100,0,100
71002442061,2019,100,0,100
71002442102,2019,100,0,100
71003100949,2019,449000,32500,481500
71003105014,2019,55100,108800,163900
71003105105,2019,53100,165200,218300
71003105113,2019,53100,195400,248500
71003105121,2019,53100,165200,218300
71003105139,2019,55600,170800,226400
71003105147,2019,53100,205200,258300
71003105155,2019,53100,173700,226800
71003105163,2019,53100,151300,204400
71003105171,2019,53100,159300,212400
71003105189,2019,53100,176900,230000
71003105197,2019,53100,171900,225000
71003105204,2019,53100,153700,206800
71003106012,2019,53100,179900,233000
71003106020,2019,53100,183900,237000
71003106038,2019,53100,167400,220500
71003106046,2019,53100,177500,230600
71003106054,2019,53100,176800,229900
71003106062,2019,53100,191600,244700
71003106070,2019,53100,181100,234200
71003106088,2019,53100,179200,232300
71003106096,2019,53100,153500,206600
71003106103,2019,54300,161800,216100
71003106111,2019,53100,180500,233600
71003106129,2019,54300,168500,222800
71003106137,2019,53100,180300,233400
71003106145,2019,53100,166000,219100
71003106153,2019,53100,150100,203200
71003106161,2019,53100,174400,227500
71003106179,2019,57300,194600,251900
71003106187,2019,53100,159400,212500
71003106195,2019,56100,182600,238700
71003106202,2019,56100,182000,238100
71003106210,2019,53100,177600,230700
71003106228,2019,53100,178600,231700
71003106236,2019,53100,182900,236000
71003106244,2019,53100,187900,241000
71003106252,2019,57300,151700,209000
71003106260,2019,56100,194600,250700
71003106278,2019,53100,150400,203500
71003106286,2019,57300,169800,227100
71003106294,2019,53100,209500,262600
71003106301,2019,53100,217400,270500
71003107010,2019,53100,186300,239400
71003107028,2019,53100,158000,211100
71003107036,2019,53100,174100,227200
71003107044,2019,53100,217000,270100
71003107052,2019,53100,169800,222900
71003107060,2019,53100,167600,220700
71003107078,2019,53100,171700,224800
71003107086,2019,53100,174900,228000
71003107094,2019,53100,162900,216000
71003107101,2019,53100,224600,277700
71003107119,2019,53100,226000,279100
71003107127,2019,53100,169400,222500
71003107135,2019,53100,167600,220700
71003107143,2019,53100,154900,208000
71003107151,2019,53100,169200,222300
71003107169,2019,53100,195500,248600
71003107177,2019,53100,181600,234700
71003107185,2019,53100,183300,236400
71003107193,2019,53100,210900,264000
71003107200,2019,53100,197200,250300
71003107218,2019,53100,178100,231200
71003107226,2019,53100,188000,241100
71003107234,2019,53100,168200,221300
71003107242,2019,53100,218500,271600
71003107250,2019,53100,139800,192900
71003108018,2019,56100,145300,201400
71003108026,2019,54300,204600,258900
71003108034,2019,54300,164900,219200
71003108042,2019,54300,190200,244500
71003108050,2019,54300,187000,241300
71003108068,2019,53100,173700,226800
71003108076,2019,53100,198900,252000
71003108084,2019,54300,161700,216000
71003108092,2019,56100,168600,224700
71003108109,2019,56100,160300,216400
71003108117,2019,57300,155400,212700
71003108125,2019,56400,181500,237900
71003108133,2019,57300,159800,217100
71003108141,2019,57300,197400,254700
71003201010,2019,53100,122700,175800
71003201028,2019,53100,149200,202300
71003201036,2019,54300,169700,224000
71003201044,2019,53100,159300,212400
71003201052,2019,57300,184000,241300
71003201060,2019,56100,166700,222800
71003201078,2019,56100,131200,187300
71003201086,2019,54300,148800,203100
71003201094,2019,58200,171600,229800
71003201101,2019,53100,150500,203600
71003201119,2019,53100,133000,186100
71003201127,2019,53100,170500,223600
71003201135,2019,57300,160700,218000
71003202068,2019,53100,150400,203500
71003202076,2019,53100,159400,212500
71003202084,2019,53100,151900,205000
71003202092,2019,53100,132300,185400
71003202109,2019,53100,170000,223100
71003202117,2019,50800,161400,212200
71003202125,2019,56500,221700,278200
71003202133,2019,46000,161300,207300
71003202141,2019,46300,132300,178600
71003202159,2019,61800,152100,213900
71003202167,2019,63200,155000,218200
71003202175,2019,73200,170700,243900
71003202183,2019,46300,161000,207300
71003203016,2019,53100,192900,246000
71003203024,2019,53100,137400,190500
71003203032,2019,53100,159900,213000
71003203040,2019,53100,139500,192600
71003203058,2019,53100,163900,217000
71003203066,2019,53100,191900,245000
71003203074,2019,53100,156600,209700
71003203082,2019,53100,152000,205100
71003203090,2019,56100,234500,290600
71003203107,2019,56100,186800,242900
71003203115,2019,54300,156100,210400
71003203123,2019,54300,207900,262200
71003203131,2019,54300,141200,195500
71003203149,2019,54300,152000,206300
71003203157,2019,54300,194800,249100
71003203165,2019,54300,142300,196600
71003203173,2019,54300,174300,228600
71003203181,2019,56100,175600,231700
71003204014,2019,54300,179900,234200
71003204022,2019,53100,246900,300000
71003204030,2019,53100,167900,221000
71003204048,2019,53100,160900,214000
71003204056,2019,53100,154300,207400
71003204064,2019,53100,162000,215100
71003204072,2019,53100,171300,224400
71003204080,2019,53100,143600,196700
71003204098,2019,56100,162600,218700
71003204105,2019,54300,157500,211800
71003204113,2019,53100,176000,229100
71003204121,2019,53100,166900,220000
71003204139,2019,53100,168800,221900
71003204147,2019,53100,163400,216500
71003204155,2019,53100,144400,197500
71003204163,2019,53100,167900,221000
71003204171,2019,53100,192000,245100
71003204189,2019,53100,150100,203200
71003205012,2019,53100,141600,194700
71003205020,2019,53100,128800,181900
71003205038,2019,53100,147200,200300
71003205046,2019,53100,148500,201600
71003205054,2019,53100,144600,197700
71003205062,2019,53100,156000,209100
71003205070,2019,54300,139600,193900
71003205088,2019,53100,186300,239400
71003205096,2019,53100,169000,222100
71003205103,2019,53100,159700,212800
71003205111,2019,57300,186100,243400
71003205129,2019,57300,187800,245100
71003205137,2019,59800,151700,211500
71003205145,2019,58200,139200,197400
71003205153,2019,56100,144100,200200
71003205161,2019,57300,154100,211400
71003205179,2019,57300,170800,228100
71003205187,2019,56100,180600,236700
71003205195,2019,56100,164300,220400
71003205202,2019,56100,131900,188000
71003205236,2019,53100,126100,179200
71003205244,2019,53100,179500,232600
71003205252,2019,53100,148500,201600
71003205260,2019,53100,166500,219600
71003205278,2019,53100,125600,178700
71003205286,2019,50800,169700,220500
71003205294,2019,53100,147100,200200
71003205301,2019,53100,157200,210300
71003205319,2019,63600,138100,201700
71003205327,2019,65300,162700,228000
71003205335,2019,57300,131300,188600
71003205343,2019,53100,121500,174600
71003205351,2019,53100,140800,193900
71003205369,2019,53100,127700,180800
71003206010,2019,53100,169800,222900
71003206028,2019,56100,195400,251500
71003206036,2019,56100,221000,277100
71003206044,2019,57300,188500,245800
71003206052,2019,65700,207500,273200
71003206060,2019,57300,217000,274300
71003206078,2019,54100,210000,264100
71003206086,2019,54300,217300,271600
71003206094,2019,57300,105900,163200
71003206101,2019,60200,99100,159300
71003206143,2019,26400,138600,165000
71003206151,2019,53100,201600,254700
71003206169,2019,53100,159200,212300
71003206177,2019,53100,150600,203700
71003206185,2019,53100,162900,216000
71003206193,2019,54300,181200,235500
71003207018,2019,53100,190800,243900
71003207026,2019,53100,197200,250300
71003207034,2019,54300,160700,215000
71003207042,2019,53100,176800,229900
71003207050,2019,53100,154900,208000
71003207068,2019,53100,118200,171300
71003207076,2019,53100,122700,175800
71003207084,2019,53100,138200,191300
71003207092,2019,53100,174000,227100
71003207109,2019,53100,117900,171000
71003207117,2019,53100,144600,197700
71003207125,2019,53100,131800,184900
71003207133,2019,56100,175700,231800
71003207141,2019,56100,167700,223800
71003207159,2019,53100,201600,254700
71003207167,2019,53100,188200,241300
71003207175,2019,53100,153500,206600
71003207183,2019,53100,187000,240100
71003207191,2019,53100,196600,249700
71003207208,2019,53100,174100,227200
71003207216,2019,53100,185000,238100
71003208016,2019,52000,150800,202800
71003208024,2019,52000,126300,178300
71003208032,2019,52000,144900,196900
71003208040,2019,52000,132300,184300
71003208058,2019,52000,108900,160900
71003208066,2019,52000,155400,207400
71003208074,2019,53100,116900,170000
71003208082,2019,53100,169400,222500
71003208090,2019,53100,171600,224700
71003208107,2019,53100,186900,240000
71003208115,2019,53100,172200,225300
71003208123,2019,53100,173600,226700
71003208131,2019,53100,164400,217500
71003208149,2019,53100,171100,224200
71003209014,2019,53100,147400,200500
71003209022,2019,53100,177800,230900
71003209030,2019,53100,138600,191700
71003209048,2019,52000,117200,169200
71003210011,2019,53100,175900,229000
71003210029,2019,53100,130800,183900
71003210037,2019,53100,145900,199000
71003210045,2019,54300,137400,191700
71003210053,2019,56100,130400,186500
71003210061,2019,53100,159700,212800
71003210079,2019,53100,123100,176200
71003211019,2019,53100,192900,246000
71003211027,2019,53100,144200,197300
71003211035,2019,53100,188200,241300
71003211043,2019,53100,122900,176000
71003211051,2019,54300,150700,205000
71003211069,2019,53100,119400,172500
71003211077,2019,53100,134400,187500
71003212017,2019,56100,174000,230100
71003212025,2019,53100,168600,221700
71003212033,2019,53100,175900,229000
71003212041,2019,53100,169500,222600
71003212059,2019,53100,139100,192200
71003212067,2019,53100,172600,225700
71003212075,2019,53100,173600,226700
71003212083,2019,53100,144600,197700
71003212091,2019,54300,170700,225000
71003212190,2019,53100,168400,221500
71003212207,2019,53100,230900,284000
71003212215,2019,53100,165100,218200
71003212223,2019,53100,161300,214400
71003212231,2019,53100,171700,224800
71003212249,2019,53100,200000,253100
71003213015,2019,53100,146900,200000
71003213023,2019,56100,200200,256300
71003213031,2019,53100,171700,224800
71003213049,2019,57300,161300,218600
71003213057,2019,65300,215800,281100
71003213065,2019,53100,149100,202200
71003213073,2019,56100,149000,205100
71003213081,2019,54300,231300,285600
71003213099,2019,53100,153000,206100
71003213106,2019,53100,142000,195100
71003213114,2019,57300,165300,222600
71003213122,2019,53100,198500,251600
71003213130,2019,53100,138400,191500
71003213148,2019,53100,159600,212700
71003213156,2019,53100,174200,227300
71003213164,2019,56100,186800,242900
71003213172,2019,56100,211300,267400
71003213180,2019,53100,127700,180800
71003213198,2019,53100,127000,180100
71003213205,2019,53100,147400,200500
71003213213,2019,53100,182000,235100
71003213221,2019,53100,177000,230100
71003213239,2019,54300,179600,233900
71003213247,2019,56100,169000,225100
71003213255,2019,56100,179700,235800
71003214055,2019,53100,130600,183700
71003214063,2019,53100,136800,189900
71003214071,2019,53100,146200,199300
71003214089,2019,53100,170500,223600
71003214097,2019,53100,198400,251500
71003214104,2019,53100,181900,235000
71003214112,2019,53100,165500,218600
71003214120,2019,53100,163900,217000
71003214138,2019,53100,153200,206300
71003214146,2019,53100,141000,194100
71003214154,2019,53100,167600,220700
71003214162,2019,53100,154800,207900
71003214170,2019,53100,155200,208300
71003301068,2019,49000,186800,235800
71003301076,2019,49000,196300,245300
71003301084,2019,48500,186500,235000
71003301092,2019,62500,191500,254000
71003301109,2019,55700,202600,258300
71003301117,2019,74000,176100,250100
71003301125,2019,64600,162200,226800
71003301133,2019,53500,206200,259700
71003301141,2019,51600,168200,219800
71003301159,2019,52400,218000,270400
71003301167,2019,57400,143800,201200
71003301175,2019,54100,173900,228000
71003301183,2019,55600,217200,272800
71003301191,2019,53200,244600,297800
71003301208,2019,49500,237800,287300
71003301216,2019,54200,209500,263700
71003301224,2019,66200,177900,244100
71003301232,2019,62300,195500,257800
71003301240,2019,55900,173600,229500
71003301258,2019,46000,219200,265200
71003301266,2019,51800,173400,225200
71003301274,2019,48600,170400,219000
71003303030,2019,57300,106500,163800
71003303048,2019,56300,115600,171900
71003303056,2019,56300,141000,197300
71003303064,2019,56300,107600,163900
71003303072,2019,52600,160000,212600
71003303080,2019,52600,108700,161300
71003303105,2019,52600,148300,200900
71003303113,2019,51700,175500,227200
71003303121,2019,57600,172300,229900
71003303139,2019,62300,141500,203800
71003303147,2019,62400,119000,181400
71003303155,2019,56700,124600,181300
71003303163,2019,52000,148200,200200
71003303171,2019,52000,175400,227400
71003303189,2019,52000,130000,182000
71003303197,2019,51900,146300,198200
71003303204,2019,51900,164600,216500
71003303212,2019,51800,153400,205200
71003303220,2019,56300,187500,243800
71003303238,2019,57600,183800,241400
71003303246,2019,57800,151400,209200
71003303254,2019,57800,209700,267500
71003303262,2019,58400,187700,246100
71003303270,2019,58400,178100,236500
71003303288,2019,57900,171900,229800
71003303329,2019,62400,180000,242400
71003304012,2019,49500,133200,182700
71003304020,2019,50500,112500,163000
71003304038,2019,56700,144000,200700
71003304046,2019,48100,143800,191900
71003304054,2019,49500,116800,166300
71003304062,2019,47100,147800,194900
71003304070,2019,47000,160000,207000
71003304088,2019,47000,145900,192900
71003304096,2019,53600,149000,202600
71003304103,2019,53600,146300,199900
71003304111,2019,62000,163200,225200
71003304161,2019,55300,139700,195000
71003304179,2019,51700,156900,208600
71003304187,2019,49900,151500,201400
71003304195,2019,60100,198400,258500
71003304202,2019,63800,182200,246000
71003304210,2019,58700,186200,244900
71003305010,2019,52900,153300,206200
71003305028,2019,53000,138800,191800
71003305036,2019,53000,169900,222900
71003305044,2019,53000,169600,222600
71003305060,2019,62900,170900,233800
71003305078,2019,59300,158300,217600
71003305086,2019,52600,162400,215000
71003305094,2019,48800,136100,184900
71003305101,2019,48800,156800,205600
71003305119,2019,48800,130200,179000
71003305127,2019,49300,151600,200900
71003305135,2019,49300,147200,196500
71003305143,2019,49300,145300,194600
71003305151,2019,49300,164800,214100
71003305169,2019,49300,161300,210600
71003305177,2019,49300,185900,235200
71003305185,2019,49300,150400,199700
71003305193,2019,49300,180400,229700
71003305200,2019,49300,149100,198400
71003305218,2019,49300,179900,229200
71003305226,2019,48800,156100,204900
71003305234,2019,48800,163000,211800
71003305242,2019,48800,133800,182600
71003305250,2019,49300,141900,191200
71003305268,2019,49300,129900,179200
71003305276,2019,49300,133500,182800
71003305284,2019,49300,133500,182800
71003305292,2019,49300,128400,177700
71003305309,2019,53000,139200,192200
71003305317,2019,53000,146700,199700
71003305325,2019,53000,152400,205400
71003305333,2019,53000,160300,213300
71003305341,2019,52700,128100,180800
71003306018,2019,57800,182200,240000
71003306068,2019,57600,133500,191100
71003306076,2019,57600,131800,189400
71003306084,2019,53500,141500,195000
71003306092,2019,53500,131600,185100
71003306109,2019,53600,159500,213100
71003306117,2019,53700,170800,224500
71003306125,2019,53700,138500,192200
71003306133,2019,53800,149400,203200
71003306141,2019,57800,132400,190200
71003307016,2019,59300,172000,231300
